address,booth_number,brands,category,country,description,email,exhibitor_name,exhibitor_url,facebook,fax,hall_location,instagram,linkedin,manufacturers,phone,show_date,show_name,show_website,twitter,website
"Fort Lauderdale,, FL, United States",6031,"ALELUIA, ART2000, ARVEX, BACCI MARMI, BERTI SISTO & CO., EDIMAX, FLYZONE, FURRER, GABRIELLA CERAMICA, GAZZINI, GRANDSTONE, IMOLA , ITALGRANITI, KERION CERAMICS, PEDRANTIQUA, SUGARONI, TAGINA.","Stone, Tile, Tile - Pavers, Tile - Terracotta, Tile - Wall",,USA - CANADA AGENT,,VIA DELL’ARTE,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=324&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381976,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.ViaDellArte.com
"Vilafames,, Castellon, Spain",5648,"BALDOCER, BPLUS, BSMALL, BPRIME, BTOP","Tile, Tile - Floor, Tile - Porcelain, Tile - Wall",,"We are a company with over 25 years of experience 

",,Baldocer,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=31&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379373,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.baldocer.com
"Vila Pouca de Aguiar,, Portugal",1428,,,,,,Transgranitos,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=318&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381722,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,transgranitos.pt
"Houston,, TX, United States",2236,,"Tile - Stone, Tile - Borders, Tile - Mosaic, Stone - Mosaic, Stone - Stone Tile",,"Pebbles, marbles, slates, quartzites mosaics, sinks.",,Bati-Orient,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=32&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380307,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.bati-orient-import.com
"Hilton Head Island,, SC, United States",5623,,,,,,TNA Stone Machinery,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=316&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379351,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.thibaut.fr
"CORAL GABLES,, FL, United States",4836,Tile of Spain,"Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Floor, Tile - Porcelain, Tile - Wall",,Visit the Spain Pavilion and celebrate Spanish hospitality,,Tile of Spain Pavilion,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=315&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379012,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://tileofspainusa.com/
"Healdsburg,, CA, United States",3233,"Archives of Ceramic Tile History, Research and Educational Resources, Historic Tile Catalog Reproductions, THF Gallery links to Contemporary Tile Products and Services.","Tile - Artisan, Tile - Ceramic (Glazed), Tile - Decorative, Tile - Mosaic, Tile - Murals",,Welcome to Coverings Connected 2020 THF www.tileheritage.org,,Tile Heritage Foundation,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=314&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381153,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://www.tileheritage.org
"Naples,, FL, United States",2527,,"Equipment & Supplies, Stone, Tile, Equipment & Machinery - Flooring Equipment",,"TILE EZE is the US partner of the KEIL Concealed Anchoring System from Germany, one of the world''s predominant concealed stainless steel anchor manufacturers for ventilated / rainscreen facades. The KEIL Anchor was developed for mechanical anchoring, non-adhesive concealed anchoring for a wide range of cladding materials such as natural stone, porcalain tile, fiber cement, ultra high performance concrete, crystallized glass.",,TILE EZE,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=313&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380551,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tile-eze.com
"Castellon,, Castellon, Spain",5145,"We are offering our product under three brands: Ape, Carmen and XLINING.","Tile, Tile - Decorative, Tile - Porcelain, Tile - Swimming Pool, Tile - Wall",,"Welcome to APE GRUPO, Spanish tile trading company.",,APE GRUPO,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=21&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379150,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.apegrupo.com
"Duncansville,, PA, United States",3531,"Tile By Design, Mexican Tile Designs","Tile - Ceramic (Glazed), Tile - Decorative, Tile - Hand Painted, Tile - Murals, Tile - Swimming Pool",,"Any Image, On Tile!",,"Tile by Design, LLC",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=311&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378498,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tilebydesign.net
"Vall D'Alba,, Castellon, Spain",5135,,"Tile, Tile - Floor, Tile - Porcelain, Tile - Wall",,"Visit us at COVERINGS 2021,  ARGENTA's New '21 collection.",,Argenta,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=24&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379144,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.argentaceramica.com
"Orlando,, FL, United States",4152,,Miscellaneous - Publication (Trade),,"Davison's Tile & Stone Blue Book is the ultimate industry directory. This annual directory is an extensive compilation of manufacturers, distributors, and tile professionals.",,Tile & Stone Blue Book,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=309&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378708,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tileandstonebluebook.com
"AFYONKARAHİSAR,, Afyonkarahisar, Turkey",4523,UMUT MARBLE,"Stone - Cut-to-Size, Stone - Limestone, Stone - Marble, Stone - Mosaic, Stone - Sinks",,WELCOME STONE MOSAIC WORLD,,UMUT MARBLE,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=319&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378865,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.umutmarble.com
"Brooklyn,, NY, United States",2032,,"Stone, Stone - Block, Stone - Marble, Stone - Moldings, Stone - Mosaic, Stone - Saddles, Stone - Sinks, Stone - Slab, Stone - Stone Tile, Stone - Tumbled",,"WELCOME TO THE SOURCE OF THE SNOW WHITE MARBLE OF THASSOS!
",,Thassos.com,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=307&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=396450,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,www.thassos.com
"Morbi,, GJ, India",5833,,"Tile, Tile - Ceramic (Glazed), Tile - Floor, Tile - Mosaic, Tile - Porcelain",,INDIA TO THE WORLD,,TIEIC Ceramics,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=308&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379548,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tieic.com
"ONDA,, Castellon, Spain",5148,"TAU Cerámica, ASCALE BY TAU","Tile - Wall, Tile, Tile - Floor, Tile - Porcelain, Tile - Stone",,"Tau Ceramic is the brand with the widest range of ceramic products, regarding the type, the format and the finish.",,Tau Ceramica,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=303&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379154,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tauceramica.com
"Strongsville,, OH, United States",3233,,Miscellaneous - Trade Association,,TCAA welcomes you to visit us @ Booth 3233 - Coverings 2021,,TCAA,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=304&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380885,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://www.tcaainc.org/
"Charlotte,, NC, United States",4824,"Ager. Ager Tiger, Pectro, Tixo, Travertine Filler, Filiflex, Airflex, Antique Brushes, Domo, Rivo, StrongEdge, Tepox V, Color kits, A complete line of diamond abrasives","Allied Products - Adhesives, Allied Products - Fillers, Allied Products - Sealers",,"For 50 years, TENAX has been a leader in mastics, resins, diamond tools, abrasives, polishes, and waxes and surface treatment products for natural stones and derivatives. We don''t make your granite; we just make it better. For further information please contact Tenax at 1-800-341-0432 or ",,Tenax USA,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=305&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379002,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tenax4you.com
"Istanbul,, Turkey",1835,,"Tile - Ceramic (Glazed), Tile - Decorative, Tile - Floor, Tile - Porcelain, Tile - Wall",,"Ceramic is today''s the most contemporary, the state-of-the-art material while also the earliest artistic material produced and used by the human being. Fusing technology with nature and human, “Termal Seramik” was founded in Sogut , BILECIK, TURKEY in 1995 to create spaces for customers with different needs and demands. First factory was opened and started production in 1997, and second factory in 2005. The current capacity of the factory is now 21.000.000 m2/ year. The product range starts from 10x10cm(4x4 inches) through 60x120cm( 24x48 inches) in different nominal sizes with availiability of floor, wall and glazed porcelain tiles. Employing around 700 people for production, Termal Seramik runs detailed production and control stages for products produced at the factory. The moment when Termal Seramik employees meet with finished products gives a huge happiness and excitement due to responsibility. Our purpose is to make production under the framework of our mission, vision and quality policy in order to maintain Termal Seramik Corp.''s currently available certificate of quality, to keep sustainable development and improvement and to raise the bars for our targets at all times. Customer satisfaction, contribution to national economy and being responsible to environment and the society are our major objectives. We do adopt the principles of Total Quality Management as our philosophy of life for life and work, in order to become a leader in technology and quality. Product designing is of great importance to us in order to establish the right connection with customers in financial, cultural and emotional aspects. For this very purpose, Termal Seramik cooperates with foreign design companies that tailgate and lead global markets. With its in-house expert designers, Termal Seramik follows global trends in market, exhibits in major international tiles and ceramics trade shows such as Cersaie, Unicera and Coverings and also visits various trend and technology exhibitions to reflect latest trends on their designs. We envisage coming out of nature and try our best to highlight natural colors, textures and products in our designs.",,Termal Seramik,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=306&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381222,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.termalseramik.com.tr
"Gualdo Tadino,, PG, Italy",1046,Tagina,"Tile, Tile - Floor, Tile - Porcelain, Tile - Wall",,You are welcome on our booth# 1046,,Tagina S.p.A.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=302&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381028,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tagina.it
"Oswego,, IL, United States",5422,"Since 1974 VINCENT is one of the world’s leading manufacturer of grinding, drilling and cutting tools for Quartz Industries.","Equipment & Machinery - Cutting, Equipment & Machinery - Diamond Blades & Saws, Equipment & Machinery - Grinding, Equipment & Machinery - Polishing, Equipment & Machinery - Profiling",,Vincent - CNC tools and much more,,VINCENT Operative Division of IGP Tools Inc.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=326&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381536,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.vincent.it
"Foshan,, Guangdong, China",247,Mostyle Mosaic & 7mm glazed porcelain thin tile.,"Tile - Floor, Tile - Mosaic, Tile - Porcelain, Tile - Vinyl, Tile - Wall",,Special glass mosaic and 7mm glazed porcelain thin tile,,Strong Ace Ltd. (A Ceramica),https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=297&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=377100,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.mostylemosaic.com
"Atlanta,, GA, United States",2230,,"Stone - Marble, Stone - Moldings, Stone - Mosaic, Stone - Travertine, Tile - Porcelain",,Visit us at booth #2230,,Topcu Tile + Stone,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=317&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381183,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.topcutile.com
"Ocala,, FL, United States",1622,,,,,,Sunshine Stone Products,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=299&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381390,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.toemi.com
"Cookeville,, TN, United States",1930,"Closeouts in Marazzi, Daltile, Ragno, Mohawk, Jeffrey Court, Anatolia, Florim, and others of Porcelain Tile, Hardwood Flooring, Stone and Glass Mosaics, Laminate Flooring, and Vinyl Flooring.","Stone, Tile, Tile - Decorative, Tile - Mosaic, Tile - Porcelain",,Closeout and Liquidations in All types of Flooring,,Stover's Liquidation,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=296&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381465,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stoverswholesale.com
"New Delhi,, DL, India",2224,,,,,,Stonex India Pvt Ltd,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=295&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=377938,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,www.stonexindia.com
"Ahmedabad,, GJ, India",2222,"SUNHEARRT
axi marble
BHUMISTU 5","Tile, Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Floor, Tile - Porcelain",,,,Sunhearrt Ceramik,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=298&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381815,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.sunhearrt.com
"Anderson,, SC, United States",3233,,"Miscellaneous, Miscellaneous - Trade Association",, ,,Tile Council of North America,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=312&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378388,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tcnatile.com
"North Andover,, MA, United States",2526,"SunTouch Mats, SunTouch WarmWire, SunTouch Underfloor Mat, ProMelt Mats, ProMelt Cable, SunTouch SunStat","Miscellaneous - Floor Heating Systems, Stone, Tile, Tile - Floor",,"SunTouch manufactures electric radiant heating systems in both a mat and a WarmWire cable system. We offer both a programmable and non programmable control for these systems. The most popular spaces to warm are bathrooms, kitchens, entries and sun rooms. We also offer an UnderFloor mat that hangs between your joists to warm an existing floor. Our electric snow melting line, ProMelt, is available in a mat and cable system. It minimizes accidents on slippery sidewalks and saves time and money from snow removal in driveways and parking lots.",,SunTouch Floor Heating & Snow Melting,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=300&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381708,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.suntouch.com
"Parlin,, NJ, United States",952,,,,"Maer Charme USA
European Semi Precious Stone Slabs and Tile",,Stonelement Inc.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=293&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=377421,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,
"CASCIANA TERME LARI,, Italia, Italy",2246,STONEGLASS® is an Italian brand. It''s certified and guaranted. It''s a innovative product that you can use every where.,"Stone - Columns, Stone - Countertops, Stone - Cut-to-Size, Stone - Sinks, Tile - Glass",,"STONEGLASS® was created to satisfy the many of the needs of today’s materials market. Throughout history, man has always strived to discover, or manufacture, new materials based on three criteria: aesthetics, versatility and availability. Today we live at a turning point – now we must also consider an additional criteria:  the environmental impact of our materials. STONEGLASS® is a new material that satisfies all four criteria.",,Stoneglass Srl,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=292&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381518,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stoneglass.it
"Casalgrande,, RE, Italy",6026,,"Tile, Tile - Ceramic (Unglazed), Tile - Floor, Tile - Pavers, Tile - Porcelain",,,,Supergres,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=301&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=396455,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.supergres.com
"Farmingdale,, NJ, United States",233,,,,,,Stone Quest,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=290&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379860,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stone-quest.com
"Andover,, MA, United States",2937,Dry-Treat™,"Allied Products, Allied Products - Cleaning Products, Allied Products - Sealers, Allied Products - Waterproofing",,Preserving the Beauty of Stone,,STAIN-PROOF by Dry-Treat,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=285&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381706,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.drytreat.com
"Muehlacker,, Germany",2830,"The Steuler Group operates worldwide with a portfolio of leading brands.
Steuler-Fliesen GmbH is one of the most innovative tile manufacturer in the world.","Tile, Tile - Floor, Tile - Mosaic, Tile - Porcelain, Tile - Wall",,"100 years of Steuler - 100 years of passion for ceramics 
",,Steuler-Fliesen GmbH,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=286&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380533,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.steuler-fliesen.com
"Nules,, Castellon, Spain",5130,STN Ceramica,"Tile - Ceramic (Glazed), Tile - Floor, Tile - Wall",,"We waiti for you at COVERINGS 2021, stand 5130",,STN Ceramica,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=287&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379140,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stnceramica.es
"Tampa,, FL, United States",1049,"Stone-Mart  
Natural Elegance Collection
Bellissimo Porcelain Collection
Ozer Tile & Stone
","Stone - Limestone, Stone - Marble, Stone - Mosaic, Stone - Pavers, Stone - Travertine",,Florida’s Source for Superior Flooring & Hardscape Solutions,,Stone-Mart,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=294&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381626,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stone-mart.com
"Morbi,, GJ, India",2219,,"Tile, Tile - Floor, Tile - Mosaic, Tile - Porcelain, Tile - Wall",,    ,,Sparron Vitrified LLP,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=283&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381813,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.sparronvitrified.com
"Lyndhurst,, NJ, United States",3422,,,,,,Sika Corporation,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=280&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381248,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://usa.sika.com
"Antwerp,, NY, United States",4312,,,,,,Slabsmith,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=281&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381912,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.slabsmith.com
"Manalapan,, NJ, United States",5841,SomerTile,"Tile, Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Mosaic, Tile - Porcelain, Tile - Trims, Tile - Wall",,"We offer on-trend, emotionally inspiring, high-quality tiles",,SomerTile,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=282&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380223,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.somertile.com
"Salt Lake City,, UT, United States",6049,,"Tile, Tile - Floor, Tile - Glass, Tile - Porcelain, Tile - Wall",,Welcome to Tile and Stone International!,,Tile and Stone International,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=310&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379523,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,www.casavitabella.com
"El Carmen,, Nuevo Leon, Mexico",3034,,Tile - Porcelain,,"A long-established manufacturer of glazes, dyes, and",,Sicer MX S de RL de CV,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=278&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380425,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.sicer.it
"Chicago,, IL, United States",5427,,,,"Stone Profit Systems creates industry-leading, Internet-based software and state-of-the-art hardware for business processes and practices for stone and tile importers, distributors and fabricators. Some of our clients include Alpine Stone, AP Marble and Granite, American Granite and Tile, Cava International, JP Stone, Marble Point, Midwest Granite, Marble Yard, Mont Granite, Mystic Granite, Stone Quarry, Stone Distribution, Tile World of Italy and Valencia Stone. Some of the features of our system include inventory management, material management and supplier price analysis, barcode scanning, job scheduling, job management and quote management, consignment locations and slab dimensioning.",,Stone Profit Systems,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=289&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379269,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stoneprofits.com
"South Elgin,, IL, United States",3833,"STABILA Levels, STABILA Lasers","Equipment & Machinery, Equipment & Machinery - Hand Tools, Equipment & Supplies, Miscellaneous - Measuring Devices",,STABILA:  The #1 Professional Level and Laser Brand,,"STABILA, Inc.",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=284&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378575,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stabila.com
"Afyonkarahisar,, Turkey",4221,,"Stone - Marble, Stone - Pavers, Stone - Slab, Stone - Travertine, Stone - Tumbled",,,,SESEMAR MARBLE & TRAVERTINE,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=275&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378728,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.sesemar.com
"Fort Laudardale,, FL, United States",5814,Terzago Macchine and Hedel Multi Wires,"Equipment & Machinery - CNC Equipment, Equipment & Machinery - Fabricating, Equipment & Machinery - Polishing, Equipment & Machinery - Saws, Equipment & Machinery - Water-jet",,Thank you for visiting Stone Equipment USA Booth #5814,,Stone Equipment USA,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=288&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=396262,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stoneequiptusa.com
"Sassuolo,, MO, Italy",2349,"Sichenia
","Tile, Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Floor, Tile - Wall",,The excellence and tradition of italian ceramic tiles.,,Sichenia,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=279&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381241,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.sichenia.it
"San Benedetto del Tronto,, Ascoli Piceno, Italy",4615,,"Equipment & Machinery - CNC Equipment, Equipment & Machinery - Cutting, Equipment & Machinery - Edging, Equipment & Machinery - Fabricating, Equipment & Machinery - Polishing, Equipment & Machinery - Profiling, Equipment & Machinery - Routing, Equipment & Machinery - Saws",,SASSO Looks forward to greeting you at COVERINGS,,Sasso,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=273&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381897,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.sassomeccanica.it
"ISTANBUL,, Turkey",237,SERANIT,Tile,,Manufacturer of porcelain and ceramic tiles.,,SERANIT GRANIT SERAMIK SAN. TIC .A.S,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=274&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=396413,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.seranit.com.tr
"San Juan de Moro,, Castellon, Spain",5932,SALONI,"Tile - Ceramic (Glazed), Tile - Ceramic (Unglazed), Tile - Floor, Tile - Porcelain, Tile - Wall",,"SALONI is proud to show you our latest collections.
",,Saloni,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=271&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380882,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.saloni.com
"Alcamo (TP),, Sicilia, Italy",2215,,,,,,Settipani Srl,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=276&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382069,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.settipani.it
"Hialeah,, FL, United States",3730,,"Allied Products - Tools, Equipment & Machinery - Cutting, Equipment & Machinery - Diamond Blades & Saws, Equipment & Machinery - Hand Tools, Equipment & Machinery - Saws",,    ,,Rubi Tools USA Inc.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=266&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378536,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.rubi.com/us
"Windermere,, FL, United States",4311,,"Equipment & Machinery, Equipment & Supplies, Miscellaneous – Business Services, Miscellaneous - Computer Equipment, Miscellaneous – Software",,Best ERP & JOBMGMT Software for Fabricators by Fabricators,,StoneApp by StoneGrid,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=291&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381929,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.stonegridusa.com/
